#,Artist Name,Discipline,City / Country,Email,Nostr (npub),Other Handle,Day,Slot Number,Slot Time (ET),Format (Live / Pre-Recorded / Visual),Honorarium (USD),LN Address,Status,Tech Check Date,Notes
1,,Music,,,,,Sat,1,1:05-1:27 PM,,,,Not contacted,,
2,,Music,,,,,Sat,2,1:30-1:52 PM,,,,Not contacted,,
3,,Visual Art,,,,,Sat,3,1:55-2:17 PM,,,,Not contacted,,
4,,Dance,,,,,Sat,4,2:20-2:42 PM,,,,Not contacted,,
5,,Theater / Spoken Word,,,,,Sat,5,2:45-3:07 PM,,,,Not contacted,,
6,,Film,,,,,Sat,6,3:10-3:32 PM,,,,Not contacted,,
7,,Writing / Storytelling,,,,,Sat,7,3:35-3:57 PM,,,,Not contacted,,
8,,Music,,,,,Sat,8,4:00-4:22 PM,,,,Not contacted,,
9,,Visual Art,,,,,Sat,9,4:25-4:47 PM,,,,Not contacted,,
10,,Closing Showcase Artist,,,,,Sat,10,4:50-5:00 PM,,,,Not contacted,,
11,,Music,,,,,Sun,1,1:05-1:25 PM,,,,Not contacted,,
12,,Music,,,,,Sun,2,1:28-1:48 PM,,,,Not contacted,,
13,,Visual Art,,,,,Sun,3,1:51-2:11 PM,,,,Not contacted,,
14,,Dance,,,,,Sun,4,2:14-2:34 PM,,,,Not contacted,,
15,,Theater / Spoken Word,,,,,Sun,5,2:37-2:57 PM,,,,Not contacted,,
16,,Film,,,,,Sun,6,3:00-3:20 PM,,,,Not contacted,,
17,,Writing / Storytelling,,,,,Sun,7,3:23-3:43 PM,,,,Not contacted,,
18,,Music,,,,,Sun,8,3:46-4:06 PM,,,,Not contacted,,
19,,Visual Art,,,,,Sun,9,4:09-4:29 PM,,,,Not contacted,,
20,,Closing Featured Artist,,,,,Sun,10,4:32-4:50 PM,,,,Not contacted,,
21,,Broadway-caliber Headliner,,,,,Mon,Finale,~9:30 PM at Pubkey,,,,Not contacted,,Headlines the in-person finale - Broadway dark on Monday means top NYC talent uniquely available
22,,Supporting Finale Performer 1,,,,,Mon,Finale,~8:30 PM at Pubkey,,,,Not contacted,,From the weekend's broadcast lineup
23,,Supporting Finale Performer 2,,,,,Mon,Finale,~8:50 PM at Pubkey,,,,Not contacted,,From the weekend's broadcast lineup
24,,Supporting Finale Performer 3,,,,,Mon,Finale,~9:10 PM at Pubkey,,,,Not contacted,,From the weekend's broadcast lineup
